k,b_spec,b_emp_raw,b_emp_windowmin
185,5.726099,50,46
186,5.741740,51,48
187,5.757216,48,48
188,5.772527,48,48
189,5.787674,48,48
190,5.802656,48,48
191,5.817473,48,48
192,5.832126,49,48
193,5.846614,48,48
194,5.860938,53,48
195,5.875096,48,48
196,5.889091,48,48
197,5.902920,53,48
198,5.916585,53,48
199,5.930085,51,50
200,5.943421,50,50
201,5.956592,52,50
202,5.969598,50,50
203,5.982440,50,50
204,5.995117,50,50
205,6.007630,53,50
206,6.019978,53,47
207,6.032161,52,47
208,6.044179,47,47
209,6.056033,47,47
210,6.067723,52,47
211,6.079247,47,47
212,6.090607,47,47
213,6.101803,47,47
214,6.112833,53,47
215,6.123699,53,47
216,6.134401,53,49
217,6.144938,49,49
218,6.155310,49,49
219,6.165517,49,49
220,6.175560,52,49
221,6.185438,53,49
222,6.195152,53,52
223,6.204701,53,53
224,6.214085,53,53
225,6.223305,53,51
226,6.232360,53,51
227,6.241251,51,51
228,6.249976,51,51
229,6.258538,53,51
230,6.266934,53,51
231,6.275166,53,53
232,6.283233,53,53
233,6.291136,53,53
234,6.298874,53,53
235,6.306447,53,53
236,6.313856,53,53
237,6.321100,53,53
238,6.328179,53,53
239,6.335094,53,53
240,6.341844,53,53
241,6.348430,53,53
242,6.354851,53,53
243,6.361107,53,53
244,6.367199,53,53
245,6.373125,53,53
246,6.378888,53,53
247,6.384485,53,53
248,6.389919,53,53
249,6.395187,53,53
250,6.400291,53,53
251,6.405230,53,53
252,6.410004,53,53
253,6.414614,53,53
254,6.419059,53,53
255,6.423340,53,53
256,6.427456,53,53
257,6.431407,53,53
258,6.435194,53,53
259,6.438816,53,53
260,6.442273,53,53
261,6.445566,53,53
262,6.448694,53,53
263,6.451658,53,53
264,6.454456,53,53
265,6.457091,53,53
266,6.459560,53,53
267,6.461865,53,53
268,6.464005,53,53
269,6.465981,53,53
270,6.467792,53,53
271,6.469439,53,53
272,6.470920,53,53
273,6.472237,53,53
274,6.473390,53,53
275,6.474378,53,53
276,6.475201,53,53
277,6.475859,53,53
278,6.476353,53,53
279,6.476683,53,53
280,6.476847,53,53
281,6.476847,53,53
282,6.476683,53,53
283,6.476353,53,53
284,6.475859,53,53
285,6.475201,53,53
286,6.474378,53,53
287,6.473390,53,53
288,6.472237,53,53
289,6.470920,53,53
290,6.469439,53,53
291,6.467792,53,53
292,6.465981,53,53
293,6.464005,53,53
294,6.461865,53,53
295,6.459560,53,53
296,6.457091,53,53
297,6.454456,53,53
298,6.451658,53,53
299,6.448694,53,53
300,6.445566,53,53
301,6.442273,53,53
302,6.438816,53,53
303,6.435194,53,53
304,6.431407,53,53
305,6.427456,53,53
306,6.423340,53,53
307,6.419059,53,53
308,6.414614,53,53
309,6.410004,53,53
310,6.405230,53,53
311,6.400291,53,53
312,6.395187,53,53
313,6.389919,53,53
314,6.384485,53,53
315,6.378888,53,53
316,6.373125,53,53
317,6.367199,53,53
318,6.361107,53,53
319,6.354851,53,53
320,6.348430,53,53
321,6.341844,53,53
322,6.335094,53,53
323,6.328179,53,53
324,6.321100,53,53
325,6.313856,53,53
326,6.306447,53,53
327,6.298874,53,53
328,6.291136,53,53
329,6.283233,53,53
330,6.275166,53,53
331,6.266934,53,51
332,6.258538,53,51
333,6.249976,51,51
334,6.241251,51,51
335,6.232360,53,51
336,6.223305,53,51
337,6.214085,53,53
338,6.204701,53,53
339,6.195152,53,52
340,6.185438,53,49
341,6.175560,52,49
342,6.165517,49,49
343,6.155310,49,49
344,6.144938,49,49
345,6.134401,53,49
346,6.123699,53,47
347,6.112833,53,47
348,6.101803,47,47
349,6.090607,47,47
350,6.079247,47,47
351,6.067723,52,47
352,6.056033,47,47
353,6.044179,47,47
354,6.032161,52,47
355,6.019978,53,47
356,6.007630,53,50
357,5.995117,50,50
358,5.982440,50,50
359,5.969598,50,50
360,5.956592,52,50
361,5.943421,50,50
362,5.930085,51,50
363,5.916585,53,48
364,5.902920,53,48
365,5.889091,48,48
366,5.875096,48,48
367,5.860938,53,48
368,5.846614,48,48
369,5.832126,49,48
370,5.817473,48,48
371,5.802656,48,48
372,5.787674,48,48
373,5.772527,48,48
374,5.757216,48,48
375,5.741740,51,48
376,5.726099,50,46
377,5.710294,49,46
378,5.694324,46,46
379,5.678190,49,46
380,5.661891,46,46
381,5.645427,46,46
382,5.628798,48,46
383,5.612005,47,44
384,5.595048,46,44
385,5.577925,44,44
386,5.560638,44,44
387,5.543187,44,44
388,5.525571,45,43
389,5.507790,44,42
390,5.489844,43,42
391,5.471734,42,40
392,5.453459,42,40
393,5.435020,40,40
394,5.416416,40,40
395,5.397647,40,40
396,5.378714,40,40
397,5.359616,40,40
398,5.340353,40,40
399,5.320926,40,40
400,5.301334,40,40
401,5.281577,40,40
402,5.261656,40,40
403,5.241571,40,40
404,5.221320,40,40
405,5.200905,40,40
406,5.180325,40,40
407,5.159581,40,40
408,5.138672,40,40
409,5.117598,40,40
410,5.096360,40,40
411,5.074957,40,40
412,5.053390,40,40
413,5.031657,40,40
414,5.009761,40,40
415,4.987699,40,40
416,4.965473,40,40
417,4.943082,40,40
418,4.920527,40,40
419,4.897807,40,40
420,4.874922,40,40
421,4.851873,40,40
422,4.828659,40,40
423,4.805281,40,40
424,4.781737,40,40
425,4.758030,40,40
426,4.734157,40,39
427,4.710120,40,39
428,4.685918,39,39
429,4.661552,39,39
430,4.637021,39,39
431,4.612325,39,37
432,4.587465,40,37
433,4.562440,37,37
434,4.537250,37,37
435,4.511896,37,37
436,4.486377,39,37
437,4.460694,37,37
438,4.434846,37,37
439,4.408833,39,37
440,4.382656,39,35
441,4.356314,39,35
442,4.329807,35,35
443,4.303136,39,35
444,4.276300,38,33
445,4.249299,38,33
446,4.222134,33,31
447,4.194804,37,31
448,4.167310,31,31
449,4.139650,37,31
450,4.111827,31,31
451,4.083838,31,31
452,4.055685,31,31
453,4.027367,31,31
454,3.998885,31,31
455,3.970238,31,31
456,3.941427,35,31
457,3.912450,31,31
458,3.883309,31,31
459,3.854004,31,31
460,3.824534,31,31
461,3.794899,33,31
462,3.765100,31,31
463,3.735136,31,31
464,3.705007,31,30
465,3.674714,31,29
466,3.644256,30,29
467,3.613633,29,29
468,3.582846,29,29
469,3.551894,29,29
470,3.520777,29,29
471,3.489496,29,29
472,3.458050,29,29
473,3.426440,29,28
474,3.394665,29,27
475,3.362725,28,27
476,3.330621,27,27
477,3.298352,27,27
478,3.265918,27,27
479,3.233320,27,27
480,3.200557,27,27
481,3.167629,27,27
482,3.134537,27,27
483,3.101280,27,27
484,3.067859,27,26
485,3.034273,27,26
486,3.000522,26,26
487,2.966607,26,26
488,2.932527,26,26
489,2.898282,26,26
490,2.863873,26,26
491,2.829299,26,26
492,2.794560,26,25
493,2.759657,26,25
494,2.724589,25,25
495,2.689357,25,24
496,2.653960,25,24
497,2.618398,24,24
498,2.582672,24,24
499,2.546781,24,23
500,2.510725,24,23
501,2.474505,23,23
502,2.438120,23,23
503,2.401570,23,22
504,2.364856,23,21
505,2.327977,22,21
506,2.290934,21,21
507,2.253726,21,21
508,2.216353,21,20
509,2.178815,21,20
510,2.141113,20,20
511,2.103247,20,20
512,2.065215,20,20
513,2.027019,20,19
514,1.988659,20,19
515,1.950134,19,19
516,1.911444,19,19
517,1.872589,19,19
518,1.833570,19,18
519,1.794386,19,18
520,1.755038,18,17
521,1.715525,18,16
522,1.675847,17,16
523,1.636005,16,15
524,1.595998,16,13
525,1.555826,15,13
526,1.515490,13,13
527,1.474989,13,13
528,1.434324,13,13
529,1.393494,14,13
530,1.352499,13,12
531,1.311339,13,12
532,1.270015,12,12
533,1.228527,12,12
534,1.186873,12,11
535,1.145055,12,11
536,1.103073,11,10
537,1.060925,11,10
538,1.018613,10,10
539,0.976137,10,9
540,0.933496,10,9
541,0.890690,9,9
542,0.847720,9,8
543,0.804584,9,8
544,0.761285,8,8
545,0.717820,8,8
546,0.674191,8,7
547,0.630398,8,6
548,0.586439,7,6
549,0.542317,6,6
550,0.498029,6,5
551,0.453577,6,5
552,0.408960,5,4
553,0.364179,5,4
554,0.319233,4,3
555,0.274122,4,3
556,0.228846,3,2
557,0.183406,3,2
558,0.137802,2,1
559,0.092032,2,0
560,0.046099,1,0
561,0.000000,0,0
